subid,age,sex,mean_FD
sub-THU20231118133GYC,11.80821918,1,0.089223
sub-THU20231118134LZT,9.271232877,1,0.112579
sub-THU20231118136YHY,9.189041096,1,0.286097
sub-THU20231119140XJR,7.652054795,2,0.103397
sub-THU20231119141SYQ,11.76164384,2,0.067247
sub-THU20231119142SRE,10.97534247,2,0.117759
sub-THU20231119143SRE,8.589041096,1,0.20632
sub-THU20231203144LSC,11.5260274,2,0.138279
sub-THU20231203146LHZ,10.87123288,1,0.162713
sub-THU20231203147WHR,9.84109589,1,0.093972
sub-THU20231217154NJG,9.882191781,2,0.075727
sub-THU20231217155LRL,12.33424658,1,0.063229
sub-THU20231217157WCY,7.531506849,1,0.33958
sub-THU20231230150BYK,6.575342466,1,0.194841
sub-THU20231230158WMZ,9.501369863,1,0.275599
sub-THU20231230159WMJ,13.12054795,1,0.133898
sub-THU20231230160DHL,12.37808219,1,0.074102
sub-THU20231230161ZJY,8.550684932,2,0.139706
sub-THU20240107162YDD,10.25205479,1,0.330372
sub-THU20240107163LJY,6.684931507,2,0.122557
sub-THU20240115LYJ,8.602739726,1,0.136028
sub-THU20240119175ZJZ,7.317808219,1,0.161272
sub-THU20240120178DKZ,10.88767123,1,0.119951
sub-THU20240120179DCB,8.101369863,1,0.162489
sub-THU20240120180WKY,7.739726027,2,0.239352
sub-THU20240120181XSM,6.564383562,2,0.095235
sub-THU20240121174WSQ,12.56438356,2,0.180857
sub-THU20240121187YJX,14.04383562,1,0.142604
sub-THU20240121188ZWK,13.94794521,1,0.089926
sub-THU20240123176QYB,9.747945205,1,0.075255
sub-THU20240123177XZY,11.36438356,2,0.084821
sub-THU20240123189DHB,11.69589041,1,0.190736
sub-THU20240123190HZR,12.96986301,1,0.145888
sub-THU20240123191LZF,12.50958904,1,0.186938
sub-THU20240124193XJY,12.07671233,1,0.133433
sub-THU20240124195LQF,10.61643836,2,0.116004
sub-THU20240124196ZSL,8.698630137,2,0.220358
sub-THU20240124197LMX,13.04931507,1,0.155282
sub-THU20240125198DH,11.22465753,2,0.142271
sub-THU20240125199DY,7.523287671,2,0.111764
sub-THU20240125200GTL,11.32876712,1,0.140518
sub-THU20240126205ZZH,13.3369863,1,0.075958
sub-THU20240126206LYX,13.7260274,2,0.145028
sub-THU20240127208GRZ,14.45205479,1,0.179921
sub-THU20240127210JTC,14.3260274,1,0.106643
sub-THU20240127211DMY,12.48767123,2,0.108036
sub-THU20240128214ZSJ,12.43835616,2,0.134076
sub-THU20240128216PSN,7.528767123,1,0.088285
